ACQ_CHARTAGENT,ACQ_CLASS_TYPE_DESC,ACQ_CNTYNAME,ACQ_CNTYNUM,ACQ_FDICREGION,ACQ_FDICREGION_DESC,ACQ_INSTNAME,ACQ_ORGTYPE_NUM,ACQ_ORG_EFF_DTE,ACQ_PADDR,ACQ_PCITY,ACQ_PSTALP,ACQ_PSTNUM,ACQ_PZIP5,ACQ_PZIPREST,ACQ_REGAGENT,CHANGECODE_DESC_LONG,EFFDATE,EFFYEAR,OUT_CNTYNAME,OUT_CNTYNUM,OUT_FDICREGION,OUT_FDICREGION_DESC,OUT_INSTNAME,OUT_ORGTYPE_NUM,OUT_PADDR,OUT_PCITY,OUT_PSTALP,OUT_PSTNUM,OUT_PZIP5,OUT_PZIPREST,OUT_REGAGENT,PROCYEAR,PSTALP,REGAGENT,SUR_CHARTAGENT,SUR_CNTYNAME,SUR_CNTYNUM,SUR_FDICREGION,SUR_FDICREGION_DESC,SUR_CNTYNUM,SUR_MADDR,SUR_MCITY,SUR_MSTALP,SUR_MSTATE,SUR_MZIP5,SUR_ORGTYPE_NUM,SUR_INSTNAME,SUR_PADDR,SUR_PCITY,SUR_PSTALP,SUR_PSTNUM,SUR_PZIP5,SUR_PZIPREST,SUR_REGAGENT,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,BERNALILLO,1,13,DALLAS,"Bank of Albuquerque, National Association",10,"201 THIRD STREET, N.W.",ALBUQUERQUE,NM,35,87102,0,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,MARICOPA,13,13,DALLAS,"Bank of Arizona, National Association",10,5050 NORTH 44TH STREET,PHOENIX,AZ,4,85018,0,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,JOHNSON,91,13,DALLAS,"Bank of Kansas City, National Association",10,7500 COLLEGE BOULEVARD,OVERLAND PARK,KS,20,66210,0,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2011-01-01T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2011-01-01T00:00:00,2011,DENVER,31,13,DALLAS,"Colorado State Bank and Trust, N. A.",10,1600 BROADWAY,DENVER,CO,8,80202,4927,OCC,2011,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
STATE,Commercial,FAYETTE,67,9,CHICAGO,Central Bank & Trust Co.,10,2006-03-31T00:00:00,300 WEST VINE STREET,LEXINGTON,KY,21,40507,0,FDIC,"Merged and became part of Central Bank & Trust Co. (15815) in Lexington, KY. ",2011-01-18T00:00:00,2011,JESSAMINE,113,9,CHICAGO,"Central Bank, FSB",115,301 NORTH MAIN STREET,NICHOLASVILLE,KY,21,40356,0,OTS,2011,KY,FDIC,STATE,FAYETTE,67,9,CHICAGO,Central Bank & Trust Co.,P.O. BOX 1360,LEXINGTON,KY,KENTUCKY,40588,10,Central Bank & Trust Co.,300 WEST VINE STREET,LEXINGTON,KY,21,40507,0,FDIC,
STATE,Commercial,WARREN,219,11,KANSAS CITY,The Missouri Bank,10,2006-03-31T00:00:00,104 NORTH HIGHWAY 47,WARRENTON,MO,29,63383,0,FED,"Merged and became part of The Missouri Bank (14036) in Warrenton, MO. ",2011-02-19T00:00:00,2011,GASCONADE,73,11,KANSAS CITY,Bay-Hermann-Berger Bank,10,501 MARKET STREET,HERMANN,MO,29,65041,0,FED,2011,MO,FED,STATE,WARREN,219,11,KANSAS CITY,The Missouri Bank,104 NORTH HIGHWAY 47,WARRENTON,MO,MISSOURI,63383,10,The Missouri Bank,104 NORTH HIGHWAY 47,WARRENTON,MO,29,63383,0,FED,
NCUA,N/A,BEXAR,29,13,DALLAS,SECURITY SERVICE FEDERAL CREDIT UNION,140,2010-07-30T00:00:00,7323 HWY 90 W,SAN ANTONIO,TX,48,78227,,NCUA,"Merged and became part of SECURITY SERVICE FEDERAL CREDIT UNION (48143) in San Antonio, TX. The successor institution was not FDIC-insured.",2011-02-15T00:00:00,2011,UTAH,49,14,SAN FRANCISCO,FAMILY FIRST FEDERAL CREDIT UNION,140,175 EAST 200 SOUTH,OREM,UT,49,84058,,NCUA,2011,TX,NCUA,NCUA,BEXAR,29,13,DALLAS,SECURITY SERVICE FEDERAL CREDIT UNION,7323 HWY 90 W,SAN ANTONIO,TX,TEXAS,78227,140,SECURITY SERVICE FEDERAL CREDIT UNION,7323 HWY 90 W,SAN ANTONIO,TX,48,78227,,NCUA,
STATE,Commercial,LOS ANGELES,37,14,SAN FRANCISCO,First General Bank,10,2006-03-31T00:00:00,1744 SOUTH NOGALES STREET,ROWLAND HEIGHTS,CA,6,91748,0,FDIC,"Merged and became part of First General Bank (58060) in Rowland Heights, CA. ",2011-01-31T00:00:00,2011,LOS ANGELES,37,14,SAN FRANCISCO,American Premier Bank,10,336 EAST HUNTINGTON DRIVE,ARCADIA,CA,6,91006,0,FDIC,2011,CA,FDIC,STATE,LOS ANGELES,37,14,SAN FRANCISCO,First General Bank,1744 SOUTH NOGALES STREET,ROWLAND HEIGHTS,CA,CALIFORNIA,91748,10,First General Bank,1744 SOUTH NOGALES STREET,ROWLAND HEIGHTS,CA,6,91748,0,FDIC,
STATE,Commercial,QUEEN ANNE'S,35,2,NEW YORK,CNB,10,2009-12-31T00:00:00,109 NORTH COMMERCE STREET,CENTREVILLE,MD,24,21617,0,FED,"Merged and became part of CNB (4832) in Centreville, MD. ",2011-01-01T00:00:00,2011,KENT,1,2,NEW YORK,The Felton Bank,10,120 MAIN STREET,FELTON,DE,10,19943,0,FDIC,2011,MD,FED,STATE,QUEEN ANNE'S,35,2,NEW YORK,CNB,PO BOX 949,EASTON,MD,MARYLAND,21601,10,CNB,109 NORTH COMMERCE STREET,CENTREVILLE,MD,24,21617,0,FED,
STATE,Commercial,DAWSON,47,11,KANSAS CITY,Homestead Bank,10,2009-10-01T00:00:00,915 MERIDIAN AVENUE,COZAD,NE,31,69130,0,FDIC,"Merged and became part of Homestead Bank (11482) in Cozad, NE. ",2011-03-01T00:00:00,2011,COLFAX,37,11,KANSAS CITY,First National Bank,10,1123 B STREET,SCHUYLER,NE,31,68661,0,OCC,2011,NE,FDIC,STATE,DAWSON,47,11,KANSAS CITY,Homestead Bank,P.O. BOX  2000,COZAD,NE,NEBRASKA,69130,10,Homestead Bank,915 MERIDIAN AVENUE,COZAD,NE,31,69130,0,FDIC,
STATE,Commercial,BROWN,15,11,KANSAS CITY,First Security Bank - Sleepy Eye,10,2008-07-14T00:00:00,101 EAST MAIN STREET,SLEEPY EYE,MN,27,56085,0,FDIC,"Merged and became part of First Security Bank - Sleepy Eye (5252) in Sleepy Eye, MN. ",2011-02-14T00:00:00,2011,DOUGLAS,41,11,KANSAS CITY,First Security Bank - Evansville,10,303 KRON STREET,EVANSVILLE,MN,27,56326,0,FDIC,2011,MN,FDIC,STATE,BROWN,15,11,KANSAS CITY,First Security Bank - Sleepy Eye,P.O. BOX  469,SLEEPY EYE,MN,MINNESOTA,56085,10,First Security Bank - Sleepy Eye,101 EAST MAIN STREET,SLEEPY EYE,MN,27,56085,0,FDIC,
