ACQ_CHARTAGENT,ACQ_CLASS_TYPE_DESC,ACQ_CNTYNAME,ACQ_CNTYNUM,ACQ_FDICREGION,ACQ_FDICREGION_DESC,ACQ_INSTNAME,ACQ_ORGTYPE_NUM,ACQ_ORG_EFF_DTE,ACQ_PADDR,ACQ_PCITY,ACQ_PSTALP,ACQ_PSTNUM,ACQ_PZIP5,ACQ_PZIPREST,ACQ_REGAGENT,CHANGECODE_DESC_LONG,EFFDATE,EFFYEAR,OUT_CNTYNAME,OUT_CNTYNUM,OUT_FDICREGION,OUT_FDICREGION_DESC,OUT_INSTNAME,OUT_ORGTYPE_NUM,OUT_PADDR,OUT_PCITY,OUT_PSTALP,OUT_PSTNUM,OUT_PZIP5,OUT_PZIPREST,OUT_REGAGENT,PROCYEAR,PSTALP,REGAGENT,SUR_CHARTAGENT,SUR_CNTYNAME,SUR_CNTYNUM,SUR_FDICREGION,SUR_FDICREGION_DESC,SUR_CNTYNUM,SUR_MADDR,SUR_MCITY,SUR_MSTALP,SUR_MSTATE,SUR_MZIP5,SUR_ORGTYPE_NUM,SUR_INSTNAME,SUR_PADDR,SUR_PCITY,SUR_PSTALP,SUR_PSTNUM,SUR_PZIP5,SUR_PZIPREST,SUR_REGAGENT,
OCC,Commercial,CARBON,9,14,SAN FRANCISCO,"Bank of Bridger, National Association",10,2006-03-31T00:00:00,101 SOUTH MAIN STREET,BRIDGER,MT,30,59014,0,OCC,"Merged and became part of Bank of Bridger, National Association (2224) in Bridger, MT. ",2017-01-20T00:00:00,2017,SHERIDAN,91,14,SAN FRANCISCO,Montana State Bank,10,220 NORTH MAIN STREET,PLENTYWOOD,MT,30,59254,0,FED,2017,MT,OCC,OCC,CARBON,9,14,SAN FRANCISCO,"Bank of Bridger, National Association",101 SOUTH MAIN STREET,BRIDGER,MT,MONTANA,59014,10,"Bank of Bridger, National Association",101 SOUTH MAIN STREET,BRIDGER,MT,30,59014,0,OCC,
STATE,Commercial,WASHTENAW,161,9,CHICAGO,Bank of Ann Arbor,10,2010-05-14T00:00:00,125 SOUTH FIFTH AVENUE,ANN ARBOR,MI,26,48107,0,FDIC,"Merged and became part of Bank of Ann Arbor (34120) in Ann Arbor, MI. ",2017-01-06T00:00:00,2017,OAKLAND,125,9,CHICAGO,Bank of Birmingham,10,33583 WOODWARD AVENUE,BIRMINGHAM,MI,26,48009,0,FDIC,2017,MI,FDIC,STATE,WASHTENAW,161,9,CHICAGO,Bank of Ann Arbor,125 SOUTH FIFTH AVENUE,ANN ARBOR,MI,MICHIGAN,48107,10,Bank of Ann Arbor,125 SOUTH FIFTH AVENUE,ANN ARBOR,MI,26,48107,0,FDIC,
OCC,Savings,VANDERBURGH,163,9,CHICAGO,"United Fidelity Bank, fsb",115,2016-12-02T00:00:00,18 NW FOURTH STREET,EVANSVILLE,IN,18,47708,0,OCC,"Merged and became part of United Fidelity Bank, fsb (29566) in Evansville, IN. ",2017-02-01T00:00:00,2017,ST. CROIX,10,2,NEW YORK,"Bank of St. Croix, Inc.",10,5025 ANCHOR WAY,CHRISTIANSTED,VI,78,820,0,FDIC,2017,IN,OCC,OCC,VANDERBURGH,163,9,CHICAGO,"United Fidelity Bank, fsb",18 Nw 4th St,Evansville,IN,INDIANA,47708,115,"United Fidelity Bank, fsb",18 NW FOURTH STREET,EVANSVILLE,IN,18,47708,0,OCC,
STATE,Commercial,HANCOCK,9,2,NEW YORK,Bar Harbor Bank & Trust,10,2013-06-17T00:00:00,82 MAIN STREET,BAR HARBOR,ME,23,4609,0,FDIC,"Merged and became part of Bar Harbor Bank & Trust (11971) in Bar Harbor, ME. ",2017-01-14T00:00:00,2017,SULLIVAN,19,2,NEW YORK,"Lake Sunapee Bank, FSB",115,9 MAIN STREET,NEWPORT,NH,33,3773,0,OCC,2017,ME,FDIC,STATE,HANCOCK,9,2,NEW YORK,Bar Harbor Bank & Trust,Po Box 400,Bar Harbor,ME,MAINE,4609,10,Bar Harbor Bank & Trust,82 MAIN STREET,BAR HARBOR,ME,23,4609,0,FDIC,
STATE,Commercial,WAUPACA,135,9,CHICAGO,First State Bank,10,2006-03-31T00:00:00,113 NORTH WATER STREET,NEW LONDON,WI,55,54961,1207,FDIC,"Merged and became part of First State Bank (15271) in New London, WI. ",2017-01-21T00:00:00,2017,WOOD,141,9,CHICAGO,Farmers and Merchants Bank,10,1680 MAIN STREET,RUDOLPH,WI,55,54475,0,FDIC,2017,WI,FDIC,STATE,WAUPACA,135,9,CHICAGO,First State Bank,P.O. BOX  268,NEW LONDON,WI,WISCONSIN,54961,10,First State Bank,113 NORTH WATER STREET,NEW LONDON,WI,55,54961,1207,FDIC,
STATE,Commercial,BARREN,9,9,CHICAGO,"South Central Bank,  Inc.",10,2016-11-17T00:00:00,208 SOUTH BROADWAY,GLASGOW,KY,21,42141,0,FDIC,"Merged and became part of South Central Bank,  Inc. (5854) in Glasgow, KY. ",2017-02-10T00:00:00,2017,HARDIN,93,9,CHICAGO,Kentucky Neighborhood Bank,10,1000 NORTH DIXIE AVENUE,ELIZABETHTOWN,KY,21,42702,0,FDIC,2017,KY,FDIC,STATE,BARREN,9,9,CHICAGO,"South Central Bank,  Inc.",501 SOUTH L. ROGERS WELLS BOULEVARD,GLASGOW,KY,KENTUCKY,42141,10,"South Central Bank,  Inc.",208 SOUTH BROADWAY,GLASGOW,KY,21,42141,0,FDIC,
STATE,Commercial,DUPAGE,43,9,CHICAGO,First Midwest Bank,10,2015-12-05T00:00:00,"ONE PIERCE PLACE, SUITE 1500",ITASCA,IL,17,60143,0,FED,"Merged and became part of First Midwest Bank (3709) in Itasca, IL. ",2017-02-04T00:00:00,2017,COOK,31,9,CHICAGO,Standard Bank and Trust Company,10,7800 WEST 95TH STREET,HICKORY HILLS,IL,17,60457,0,FDIC,2017,IL,FED,STATE,DUPAGE,43,9,CHICAGO,First Midwest Bank,ONE PIERCE PLACE,ITASCA,IL,ILLINOIS,60143,10,First Midwest Bank,"ONE PIERCE PLACE, SUITE 1500",ITASCA,IL,17,60143,0,FED,
STATE,Commercial,ST. LOUIS,189,11,KANSAS CITY,Enterprise Bank & Trust,10,2011-10-21T00:00:00,150 NORTH MERAMEC,CLAYTON,MO,29,63105,3704,FDIC,"Merged and became part of Enterprise Bank & Trust (27237) in Clayton, MO. ",2017-02-11T00:00:00,2017,JEFFERSON,99,11,KANSAS CITY,Eagle Bank and Trust Company of Missouri,10,10596 HIGHWAY 21,HILLSBORO,MO,29,63050,0,FDIC,2017,MO,FDIC,STATE,ST. LOUIS,189,11,KANSAS CITY,Enterprise Bank & Trust,150 NORTH MERAMEC AVENUE,CLAYTON,MO,MISSOURI,63105,10,Enterprise Bank & Trust,150 NORTH MERAMEC,CLAYTON,MO,29,63105,3704,FDIC,
STATE,Commercial,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,10,2017-02-18T00:00:00,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,"Merged and became part of United Bank & Capital Trust Company (15437) in Frankfort, KY. ",2017-02-18T00:00:00,2017,WOODFORD,239,9,CHICAGO,United Bank & Trust Company,10,100 UNITED DRIVE,VERSAILLES,KY,21,40383,0,FDIC,2017,KY,FED,STATE,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,P.O. BOX  309,FRANKFORT,KY,KENTUCKY,40601,10,United Bank & Capital Trust Company,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,
STATE,Commercial,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,10,2017-02-18T00:00:00,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,"Merged and became part of United Bank & Capital Trust Company (15437) in Frankfort, KY. ",2017-02-18T00:00:00,2017,HARDIN,93,9,CHICAGO,First Citizens Bank,10,425 WEST DIXIE AVENUE,ELIZABETHTOWN,KY,21,42701,0,FED,2017,KY,FED,STATE,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,P.O. BOX  309,FRANKFORT,KY,KENTUCKY,40601,10,United Bank & Capital Trust Company,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,
STATE,Commercial,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,10,2017-02-18T00:00:00,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,"Merged and became part of United Bank & Capital Trust Company (15437) in Frankfort, KY. ",2017-02-18T00:00:00,2017,CAMPBELL,37,9,CHICAGO,"Citizens Bank of Northern Kentucky, Inc.",10,103 CHURCHILL DRIVE,NEWPORT,KY,21,41071,0,FDIC,2017,KY,FED,STATE,FRANKLIN,73,9,CHICAGO,United Bank & Capital Trust Company,P.O. BOX  309,FRANKFORT,KY,KENTUCKY,40601,10,United Bank & Capital Trust Company,125 WEST MAIN ST,FRANKFORT,KY,21,40601,0,FED,
STATE,Commercial,FAULKNER,45,13,DALLAS,Centennial Bank,10,2015-10-01T00:00:00,620 CHESTNUT STREET,CONWAY,AR,5,72032,0,FED,"Merged and became part of Centennial Bank (11241) in Conway, AR. ",2017-02-24T00:00:00,2017,BROWARD,11,5,ATLANTA,"Landmark Bank, National Association",10,2600 EAST COMMERCIAL BOULEVARD,FORT LAUDERDALE,FL,12,33308,0,OCC,2017,AR,FED,STATE,FAULKNER,45,13,DALLAS,Centennial Bank,P.O. BOX 966,CONWAY,AR,ARKANSAS,72032,10,Centennial Bank,620 CHESTNUT STREET,CONWAY,AR,5,72032,0,FED,
STATE,Commercial,EDGAR,45,9,CHICAGO,State Bank of Chrisman,10,2015-09-09T00:00:00,202 WEST MADISON AVENUE,CHRISMAN,IL,17,61924,0,FDIC,"Merged and became part of State Bank of Chrisman (16479) in Chrisman, IL. ",2017-01-13T00:00:00,2017,VERMILION,183,9,CHICAGO,First National Bank in Georgetown,10,111 SOUTH MAIN STREET,GEORGETOWN,IL,17,61846,0,OCC,2017,IL,FDIC,STATE,EDGAR,45,9,CHICAGO,Longview Bank and Trust,P.O. BOX 167,CHRISMAN,IL,ILLINOIS,61924,10,Longview Bank and Trust,202 WEST MADISON AVENUE,CHRISMAN,IL,17,61924,0,FDIC,
STATE,Commercial,RICHLAND,79,5,ATLANTA,South State Bank,10,2015-09-01T00:00:00,520 GERVAIS STREET,COLUMBIA,SC,45,29201,6738,FDIC,"Merged and became part of South State Bank (13425) in Columbia, SC. ",2017-01-03T00:00:00,2017,RICHMOND,245,5,ATLANTA,Georgia Bank & Trust Company of Augusta,10,3530 WHEELER ROAD,AUGUSTA,GA,13,30909,0,FDIC,2017,SC,FDIC,STATE,RICHLAND,79,5,ATLANTA,South State Bank,520 GERVAIS STREET,COLUMBIA,SC,SOUTH CAROLINA,29201,10,South State Bank,520 GERVAIS STREET,COLUMBIA,SC,45,29201,6738,FDIC,
STATE,Commercial,KEOKUK,107,11,KANSAS CITY,County Bank,10,2013-01-01T00:00:00,201 SOUTH JEFFERSON STREET,SIGOURNEY,IA,19,52591,0,FDIC,"Merged and became part of County Bank (12126) in Sigourney, IA. ",2017-02-03T00:00:00,2017,POWESHIEK,157,11,KANSAS CITY,Hartwick State Bank,10,207 MAIN STREET,HARTWICK,IA,19,52232,0,FDIC,2017,IA,FDIC,STATE,KEOKUK,107,11,KANSAS CITY,County Bank,P.O. BOX  207,SIGOURNEY,IA,IOWA,52591,10,County Bank,201 SOUTH JEFFERSON STREET,SIGOURNEY,IA,19,52591,0,FDIC,
STATE,Commercial,STARK,151,9,CHICAGO,Premier Bank & Trust,10,2014-09-17T00:00:00,600 SOUTH  MAIN STREET,NORTH CANTON,OH,39,44720,0,FDIC,"Merged and became part of Premier Bank & Trust (35385) in North Canton, OH. ",2017-01-31T00:00:00,2017,MAHONING,99,9,CHICAGO,"The Home Savings and Loan Company of Youngstown, Ohio",115,275 WEST FEDERAL STREET,YOUNGSTOWN,OH,39,44503,1200,FDIC,2017,OH,FDIC,STATE,STARK,151,9,CHICAGO,Home Savings Bank,PO BOX 1111,YOUNGSTOWN,OH,OHIO,44501,10,Home Savings Bank,600 SOUTH  MAIN STREET,NORTH CANTON,OH,39,44720,0,FDIC,
OCC,Commercial,TULSA,143,13,DALLAS,"BOKF, National Association",10,2014-03-02T00:00:00,ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,"Merged and became part of BOKF, National Association (4214) in Tulsa, OK. ",2017-02-17T00:00:00,2017,JACKSON,95,11,KANSAS CITY,Missouri Bank and Trust Company of Kansas City,10,1044 MAIN STREET,KANSAS CITY,MO,29,64105,0,FDIC,2017,OK,OCC,OCC,TULSA,143,13,DALLAS,"BOKF, National Association",P.O. BOX  2300,TULSA,OK,OKLAHOMA,74121,10,"BOKF, National Association",ONE WILLIAMS CENTER,TULSA,OK,40,74172,109,OCC,
STATE,Commercial,CAMERON,61,13,DALLAS,Texas Regional Bank,10,2015-06-11T00:00:00,2019 SOUTH 77 SUNSHINE STRIP,HARLINGEN,TX,48,78550,0,FED,"Merged and became part of Texas Regional Bank (26906) in Harlingen, TX. ",2017-02-25T00:00:00,2017,BLANCO,31,13,DALLAS,The Blanco National Bank,10,416 4TH STREET,BLANCO,TX,48,78606,0,OCC,2017,TX,FED,STATE,CAMERON,61,13,DALLAS,Texas Regional Bank,2019 SOUTH 77 SUNSHINE STRIP,HARLINGEN,TX,TEXAS,78550,10,Texas Regional Bank,2019 SOUTH 77 SUNSHINE STRIP,HARLINGEN,TX,48,78550,0,FED,
STATE,Commercial,FAULKNER,45,13,DALLAS,Centennial Bank,10,2017-02-24T00:00:00,620 CHESTNUT STREET,CONWAY,AR,5,72032,0,FED,"Merged and became part of Centennial Bank (11241) in Conway, AR. ",2017-03-01T00:00:00,2017,SARASOTA,115,5,ATLANTA,The Bank of Commerce,10,1858 RINGLING BOULEVARD,SARASOTA,FL,12,34236,0,FDIC,2017,AR,FED,STATE,FAULKNER,45,13,DALLAS,Centennial Bank,P.O. BOX 966,CONWAY,AR,ARKANSAS,72032,10,Centennial Bank,620 CHESTNUT STREET,CONWAY,AR,5,72032,0,FED,
STATE,Commercial,REPUBLIC,157,11,KANSAS CITY,Astra Bank,10,2013-01-09T00:00:00,323 4TH STREET,SCANDIA,KS,20,66966,9732,FDIC,"Merged and became part of Astra Bank (17636) in Scandia, KS. ",2017-03-06T00:00:00,2017,ROOKS,163,11,KANSAS CITY,Midwest Community Bank,10,201 SOUTH MAIN STREET,PLAINVILLE,KS,20,67663,0,FDIC,2017,KS,FDIC,STATE,REPUBLIC,157,11,KANSAS CITY,Astra Bank,P.O. BOX  200,SCANDIA,KS,KANSAS,66966,10,Astra Bank,323 4TH STREET,SCANDIA,KS,20,66966,9732,FDIC,
STATE,Commercial,BUTLER,15,11,KANSAS CITY,Equity Bank,10,2012-06-16T00:00:00,ANDOVER ROAD AND CENTRAL STREET,ANDOVER,KS,20,67002,0,FED,"Merged and became part of Equity Bank (25858) in Andover, KS. ",2017-03-11T00:00:00,2017,SHERIDAN,179,11,KANSAS CITY,State Bank,10,745 MAIN STREET,HOXIE,KS,20,67740,0,FDIC,2017,KS,FED,STATE,BUTLER,15,11,KANSAS CITY,Equity Bank,PO BOX 730,ANDOVER,KS,KANSAS,67002,10,Equity Bank,ANDOVER ROAD AND CENTRAL STREET,ANDOVER,KS,20,67002,0,FED,
STATE,Commercial,MOORE,125,5,ATLANTA,First Bank,10,2016-07-16T00:00:00,300 S.W. BROAD STREET,SOUTHERN PINES,NC,37,28387,0,FED,"Merged and became part of First Bank (15019) in Southern Pines, NC. ",2017-03-04T00:00:00,2017,GUILFORD,81,5,ATLANTA,Carolina Bank,10,101 NORTH SPRING STREET,GREENSBORO,NC,37,27401,0,FDIC,2017,NC,FED,STATE,MOORE,125,5,ATLANTA,First Bank,300 SW BROAD STREET,SOUTHERN PINES,NC,NORTH CAROLINA,28387,10,First Bank,300 S.W. BROAD STREET,SOUTHERN PINES,NC,37,28387,0,FED,
STATE,Commercial,MOULTRIE,139,9,CHICAGO,First Community Bank of Moultrie County,10,2017-03-06T00:00:00,1 SOUTH MAIN STREET,SULLIVAN,IL,17,61951,0,FDIC,"Merged and became part of First Community Bank of Moultrie County (3745) in Sullivan, IL. ",2017-03-06T00:00:00,2017,MOULTRIE,139,9,CHICAGO,Hardware State Bank,10,102 WEST STATE STREET,LOVINGTON,IL,17,61937,0,FDIC,2017,IL,FDIC,STATE,MOULTRIE,139,9,CHICAGO,First Community Bank of Moultrie County,P.O. BOX  136,SULLIVAN,IL,ILLINOIS,61951,10,First Community Bank of Moultrie County,1 SOUTH MAIN STREET,SULLIVAN,IL,17,61951,0,FDIC,
STATE,Commercial,SAN BERNARDINO,71,14,SAN FRANCISCO,Citizens Business Bank,10,2016-03-01T00:00:00,701 NORTH HAVEN AVENUE,ONTARIO,CA,6,91764,0,FDIC,"Merged and became part of Citizens Business Bank (21716) in Ontario, CA. ",2017-03-10T00:00:00,2017,TULARE,107,14,SAN FRANCISCO,Valley Business Bank,10,701 WEST MAIN STREET,VISALIA,CA,6,93291,0,FDIC,2017,CA,FDIC,STATE,SAN BERNARDINO,71,14,SAN FRANCISCO,Citizens Business Bank,P.O. BOX  51000,ONTARIO,CA,CALIFORNIA,91761,10,Citizens Business Bank,701 NORTH HAVEN AVENUE,ONTARIO,CA,6,91764,0,FDIC,
OCC,Commercial,MERCER,85,2,NEW YORK,First National Bank of Pennsylvania,10,2016-04-22T00:00:00,166 MAIN STREET,GREENVILLE,PA,42,16125,0,OCC,"Merged and became part of First National Bank of Pennsylvania (7888) in Greenville, PA. ",2017-03-11T00:00:00,2017,IREDELL,97,5,ATLANTA,Yadkin Bank,10,325 EAST FRONT ST.,STATESVILLE,NC,37,28677,0,FDIC,2017,PA,OCC,OCC,MERCER,85,2,NEW YORK,First National Bank of Pennsylvania,166 MAIN STREET,GREENVILLE,PA,PENNSYLVANIA,16125,10,First National Bank of Pennsylvania,166 MAIN STREET,GREENVILLE,PA,42,16125,0,OCC,
STATE,Commercial,WAYNE,231,9,CHICAGO,The Monticello Banking Company,10,2012-01-01T00:00:00,50 NORTH MAIN,MONTICELLO,KY,21,42633,0,FED,"Merged and became part of The Monticello Banking Company (292) in Monticello, KY. ",2017-03-18T00:00:00,2017,HARLAN,95,9,CHICAGO,The Bank of Harlan,10,201 EAST CENTRAL STREET,HARLAN,KY,21,40831,0,FDIC,2017,KY,FED,STATE,WAYNE,231,9,CHICAGO,The Monticello Banking Company,50 MAIN STREET,MONTICELLO,KY,KENTUCKY,42633,10,The Monticello Banking Company,50 NORTH MAIN,MONTICELLO,KY,21,42633,0,FED,
STATE,Commercial,FRESNO,19,11,KANSAS CITY,Premier Valley Bank,10,2015-08-10T00:00:00,255 EAST RIVER PARK CIRCLE  SUITE 180,FRESNO,CA,6,93720,0,FDIC,"Merged and became part of Premier Valley Bank (57098) in Fresno, CA. ",2017-02-28T00:00:00,2017,SAN LUIS OBISPO,79,14,SAN FRANCISCO,Founders Community Bank,10,237 HIGUERA STREET,SAN LUIS OBISPO,CA,6,93401,0,FDIC,2017,CA,FDIC,STATE,FRESNO,19,11,KANSAS CITY,Premier Valley Bank,255 EAST RIVER PARK CIRCLE  SUITE 180,FRESNO,CA,CALIFORNIA,93720,10,Premier Valley Bank,255 EAST RIVER PARK CIRCLE  SUITE 180,FRESNO,CA,6,93720,0,FDIC,
OCC,Savings,DEFIANCE,39,9,CHICAGO,First Federal Bank of the Midwest,125,2015-02-11T00:00:00,601 CLINTON STREET,DEFIANCE,OH,39,43512,0,OCC,"Merged and became part of First Federal Bank of the Midwest (29845) in Defiance, OH. ",2017-02-24T00:00:00,2017,WYANDOT,175,9,CHICAGO,The Commercial Savings Bank,10,118 SOUTH SANDUSKY AVENUE,UPPER SANDUSKY,OH,39,43351,0,FDIC,2017,OH,OCC,OCC,DEFIANCE,39,9,CHICAGO,First Federal Bank of the Midwest,601 CLINTON STREET,DEFIANCE,OH,OHIO,43512,125,First Federal Bank of the Midwest,601 CLINTON STREET,DEFIANCE,OH,39,43512,0,OCC,
STATE,Commercial,SHELBY,211,9,CHICAGO,Citizens Union Bank of Shelbyville,10,2014-10-07T00:00:00,1854 MIDLAND TRAIL,SHELBYVILLE,KY,21,40065,0,FDIC,"Merged and became part of Citizens Union Bank of Shelbyville (5840) in Shelbyville, KY. ",2017-03-18T00:00:00,2017,OWEN,187,9,CHICAGO,First Farmers Bank and Trust Company,10,127 NORTH THOMAS STREET,OWENTON,KY,21,40359,0,FDIC,2017,KY,FDIC,STATE,SHELBY,211,9,CHICAGO,Citizens Union Bank of Shelbyville,P. O. BOX 189,SHELBYVILLE,KY,KENTUCKY,40066,10,Citizens Union Bank of Shelbyville,1854 MIDLAND TRAIL,SHELBYVILLE,KY,21,40065,0,FDIC,
STATE,N/A,MORGAN,103,5,ATLANTA,Family Security Credit Union,140,1982-12-14T00:00:00,"2204 FAMILY SECURITY PLACE, SW",DECATUR,AL,1,35603,,NCUA,"Merged and became part of Family Security Credit Union (44354) in Decatur, AL. The successor institution was not FDIC-insured.",2013-04-01T00:00:00,2013,JACKSON,71,5,ATLANTA,STEVENSON FEDERAL CREDIT UNION,140,41119 US HIGHWAY 72,STEVENSON,AL,1,35772,0,NCUA,2017,AL,NCUA,STATE,MORGAN,103,5,ATLANTA,FAMILY SECURITY CREDIT UNION,"2204 FAMILY SECURITY PLACE, SW",DECATUR,AL,ALABAMA,35603,140,FAMILY SECURITY CREDIT UNION,"2204 FAMILY SECURITY PLACE, SW",DECATUR,AL,1,35603,,NCUA,
STATE,Commercial,BROWARD,11,5,ATLANTA,Stonegate Bank,10,2014-04-17T00:00:00,400 NORTH FEDERAL HIGHWAY,POMPANO BEACH,FL,12,33062,0,FDIC,"Merged and became part of Stonegate Bank (57934) in Pompano Beach, FL. ",2017-03-07T00:00:00,2017,SARASOTA,115,5,ATLANTA,Insignia Bank,10,333 NORTH ORANGE AVENUE,SARASOTA,FL,12,34236,0,FDIC,2017,FL,FDIC,STATE,BROWARD,11,5,ATLANTA,Stonegate Bank,P.O. BOX 10069,POMPANO BEACH,FL,FLORIDA,33061,10,Stonegate Bank,400 NORTH FEDERAL HIGHWAY,POMPANO BEACH,FL,12,33062,0,FDIC,
OCC,Commercial,COLES,29,9,CHICAGO,"First Mid-Illinois Bank & Trust, National Association",10,2015-08-14T00:00:00,1515 CHARLESTON AVENUE,MATTOON,IL,17,61938,0,OCC,"Merged and became part of First Mid-Illinois Bank & Trust, National Association (3705) in Mattoon, IL. ",2017-03-17T00:00:00,2017,MADISON,119,9,CHICAGO,"First Clover Leaf Bank, National Association",10,6814 GOSHEN ROAD,EDWARDSVILLE,IL,17,62025,7749,OCC,2017,IL,OCC,OCC,COLES,29,9,CHICAGO,"First Mid-Illinois Bank & Trust, National Association",P.O. BOX 499,MATTOON,IL,ILLINOIS,61938,10,"First Mid-Illinois Bank & Trust, National Association",1515 CHARLESTON AVENUE,MATTOON,IL,17,61938,0,OCC,
STATE,N/A,JACKSON,95,11,KANSAS CITY,K.C. AREA CREDIT UNION,140,2008-12-31T00:00:00,"601 E 12TH STREET, ROOM G-15",KANSAS CITY,MO,29,64106,0,NCUA,"Merged and became part of K.C. AREA CREDIT UNION (37809) in Kansas City, MO. The successor institution was not FDIC-insured.",2017-01-01T00:00:00,2017,WYANDOTTE,209,11,KANSAS CITY,AREA CREDIT UNION,140,"1401 FAIRFAX ROAD, E-100",KANSAS CITY,KS,20,66115,,NCUA,2017,MO,NCUA,STATE,JACKSON,95,11,KANSAS CITY,K.C. AREA CREDIT UNION,P O BOX 15566,KANSAS CITY,MO,MISSOURI,64106,140,K.C. AREA CREDIT UNION,"601 E 12TH STREET, ROOM G-61",KANSAS CITY,MO,29,64106,0,NCUA,
STATE,Commercial,CHARLESTON,19,5,ATLANTA,CresCom Bank,10,2016-06-10T00:00:00,288 MEETING STREET,CHARLESTON,SC,45,29401,0,FDIC,"Merged and became part of CresCom Bank (57135) in Charleston, SC. ",2017-03-18T00:00:00,2017,GREENVILLE,45,5,ATLANTA,Greer State Bank,10,1111 WEST POINSETT STREET,GREER,SC,45,29650,0,FDIC,2017,SC,FDIC,STATE,CHARLESTON,19,5,ATLANTA,CresCom Bank,288 MEETING STREET,CHARLESTON,SC,SOUTH CAROLINA,29401,10,CresCom Bank,288 MEETING STREET,CHARLESTON,SC,45,29401,0,FDIC,
OCC,Savings,ALLEGHENY,3,2,NEW YORK,"Dollar Bank, Federal Savings Bank",110,2017-01-01T00:00:00,340 FOURTH AVE,PITTSBURGH,PA,42,15222,1004,OCC,"Merged and became part of Dollar Bank, Federal Savings Bank (32245) in Pittsburgh, PA. ",2017-03-25T00:00:00,2017,ALLEGHENY,3,2,NEW YORK,Progressive-Home Federal Savings and Loan Association,120,820 WARRINGTON AVENUE,PITTSBURGH,PA,42,15210,0,OCC,2017,PA,OCC,OCC,ALLEGHENY,3,2,NEW YORK,"Dollar Bank, Federal Savings Bank",3 GATEWAY CTR - 9TH FLOOR,PITTSBURGH,PA,PENNSYLVANIA,15222,110,"Dollar Bank, Federal Savings Bank",340 FOURTH AVE,PITTSBURGH,PA,42,15222,1004,OCC,
STATE,Commercial,SAINT LOUIS (CITY),510,11,KANSAS CITY,Lindell Bank & Trust Company,10,2016-03-19T00:00:00,6900 CLAYTON AVENUE,ST. LOUIS,MO,29,63139,0,FED,"Merged and became part of Lindell Bank & Trust Company (1073) in St. Louis, MO. ",2017-04-01T00:00:00,2017,ST. CLAIR,163,9,CHICAGO,First Illinois Bank,10,327-333 MISSOURI AVENUE,EAST ST. LOUIS,IL,17,62202,0,FED,2017,MO,FED,STATE,SAINT LOUIS (CITY),510,11,KANSAS CITY,Lindell Bank & Trust Company,6900 Clayton Ave,Saint Louis,MO,MISSOURI,63139,10,Lindell Bank & Trust Company,6900 CLAYTON AVENUE,ST. LOUIS,MO,29,63139,0,FED,
STATE,Commercial,HENRY,79,13,DALLAS,Security Bank and Trust Company,10,2013-12-10T00:00:00,210 WEST WASHINGTON STREET,PARIS,TN,47,38242,0,FDIC,"Merged and became part of Security Bank and Trust Company (9172) in Paris, TN. ",2017-03-25T00:00:00,2017,OBION,131,13,DALLAS,Reelfoot Bank,10,1491 S. FIRST STREET,UNION CITY,TN,47,38261,0,FED,2017,TN,FDIC,STATE,HENRY,79,13,DALLAS,Security Bank and Trust Company,P.O. BOX 1209,PARIS,TN,TENNESSEE,38242,10,Security Bank and Trust Company,210 WEST WASHINGTON STREET,PARIS,TN,47,38242,0,FDIC,
OCC,Savings,RICE,159,11,KANSAS CITY,Lyons Federal Bank,120,2011-07-21T00:00:00,200 EAST AVE SOUTH,LYONS,KS,20,67554,0,OCC,"Merged and became part of Lyons Federal Bank (27727) in Lyons, KS. ",2017-04-01T00:00:00,2017,TREGO,195,11,KANSAS CITY,First Federal Savings and Loan Association of Wakeeney,120,229 MAIN STREET,WAKEENEY,KS,20,67672,0,OCC,2017,KS,OCC,OCC,RICE,159,11,KANSAS CITY,Lyons Federal Bank,BOX 58,LYONS,KS,KANSAS,67554,120,Lyons Federal Bank,200 EAST AVE SOUTH,LYONS,KS,20,67554,0,OCC,
STATE,Commercial,PULASKI,119,13,DALLAS,Central Bank,10,2011-11-30T00:00:00,"1506 MARKET STREET, SUITE C180",LITTLE ROCK,AR,5,72211,1816,FDIC,"Merged and became part of Central Bank (1756) in Little Rock, AR. ",2017-04-01T00:00:00,2017,BENTON,7,13,DALLAS,Pinnacle Bank,10,4201 W NEW HOPE RD,ROGERS,AR,5,72758,0,FDIC,2017,AR,FDIC,STATE,PULASKI,119,13,DALLAS,Central Bank,P.O. BOX 22037,LITTLE ROCK,AR,ARKANSAS,72221,10,Central Bank,"1506 MARKET STREET, SUITE C180",LITTLE ROCK,AR,5,72211,1816,FDIC,
